Designator,MPN/Seeed SKU,Quantity,Link,Supplier and ref
D3,304990003,1,https://statics3.seeedstudio.com/images/opl/datasheet/304990003.pdf,
U4,113990582,1,https://www.mouser.com/ProductDetail/Seeed-Studio/113990582?qs=sGAEpiMZZMsGelYiB%252BjhZoug4L%2FWODSMtK%252B2PPUqfs4XRnUiIJJ2hg%3D%3D,
"C1,C6,C3,C2",302010178,4,https://statics3.seeedstudio.com/images/opl/datasheet/0100080P1.pdf,
C12,302010076,1,https://statics3.seeedstudio.com/images/opl/datasheet/302010076.pdf,
"R9,R5,R7,R10,R11,R12,R13",301010195,7,https://statics3.seeedstudio.com/images/opl/datasheet/resistance-series.pdf,
U7,BMP280,1,https://www.mouser.com/ProductDetail/Bosch-Sensortec/BMP280?qs=sGAEpiMZZMtIHXa%252BTo%2Fr2eGxaEtuZJz3i3U5QWpV0wc%3D,
U6,ICM-20948,1,https://www.mouser.com/ProductDetail/TDK-InvenSense/ICM-20948?qs=sGAEpiMZZMve4%2FbfQkoj%252BJwQU4m%252BZkcVSWoSqbKWYiU%3D,
U3,AP2112K-3.3TRG1,1,https://www.mouser.com/ProductDetail/Diodes-Incorporated/AP2112K-33TRG1?qs=%2Fha2pyFadugKN4ES11GMq2snst8wH3yje9KIABR%252BTfzTosnOVDqX4A%3D%3D,
U2,TLV70218DBVT,1,https://www.mouser.com/ProductDetail/Texas-Instruments/TLV70218DBVT?qs=sGAEpiMZZMsGz1a6aV8DcK8%2FNbLQFTsJm3OjJFBXqD8%3D,
U1,MCP73831T-2ACI/OT ,1,https://www.mouser.com/ProductDetail/Microchip-Technology/MCP73831T-2ACI-OT?qs=sGAEpiMZZMtLck3p7ZBovc%252bIEf4wKPGR,
SW1,EVQ-PUJ02K,1,https://www.mouser.com/ProductDetail/Panasonic/EVQ-PUJ02K?qs=%2Fha2pyFaduh32GdXYKHv4jrrbBfPRqjzfdf8FlmNDvo%3D,
J3,DM3AT-SF-PEJM5,1,https://www.digikey.com/product-detail/en/hirose-electric-co-ltd/DM3AT-SF-PEJM5/HR1964CT-ND/2533566,
J2,M50-3600542R,1,https://www.mouser.com/ProductDetail/Harwin/M50-3600542R?qs=sGAEpiMZZMvxO7XFMojgsDrZBswRTuB8,
"C16,C15,C14,C13,C9,C5,C4",302010138,7,https://statics3.seeedstudio.com/images/opl/datasheet/0100020P1.pdf,
"C11,C10",302010139,2,https://statics3.seeedstudio.com/images/opl/datasheet/0100340P1.pdf,
"C8,C7",302010067,2,https://statics3.seeedstudio.com/images/opl/datasheet/302010067.pdf,
Q1,DMG2305UX-7,1,https://www.diodes.com/assets/Datasheets/DMG2305UX.pdf,
U5,PCA9306DCUR,1,https://www.mouser.com/ProductDetail/Texas-Instruments/PCA9306DCUR?qs=sGAEpiMZZMsty6Jaj0%252BBBvkEAHn4ZEi0EeLKyAodziw%3D,
BZ1,PKMCS0909E4000-R1,1,https://www.mouser.com/ProductDetail/Murata-Electronics/PKMCS0909E4000-R1?qs=%2Fha2pyFadui1K1i3N8Z4%252B4bkKwHbQN%252BSPuj64PQSz0jmNOq7MpVIpg%3D%3D,
D2,599-0020-007F,1,https://www.mouser.com/ProductDetail/Dialight/599-0020-007F?qs=sGAEpiMZZMvyj6n1w4pZD6eAxfjFR14DrWbMj3eap579qUWH%2FU8BPg%3D%3D,
"R1,R2,R17,R18",301010196,4,https://statics3.seeedstudio.com/images/opl/datasheet/301010196.pdf,
"R3,R4",301010289,2,https://statics3.seeedstudio.com/images/opl/datasheet/0010010P1.pdf,
R6,301010298,1,https://statics3.seeedstudio.com/images/opl/datasheet/0011090P1.pdf,
R8,301010813,1,https://statics3.seeedstudio.com/images/opl/datasheet/resistance-series.pdf,
Y1,FC-135 32.7680KA-AC3,1,https://www.digikey.com/product-detail/en/epson/FC-135-32.7680KA-AC3/SER4085CT-ND/6132705,
J1,10118194-0001LF,1,https://www.digikey.com/product-detail/en/amphenol-icc-fci/10118194-0001LF/609-4618-1-ND/2785382,
D1,MBR120VLSFT1G,1,https://www.digikey.com/product-detail/en/on-semiconductor/MBR120VLSFT1G/MBR120VLSFT1GOSCT-ND/893874,
